cycle_id,cooler_condition_pct,valve_condition_pct,internal_pump_leakage,hydraulic_accumulator_bar,stable_flag,device_id,source_format,plant,line,source_timestamp,processed_at,ps1_sample_count,ps1_expected_samples,ps1_mean,ps1_min,ps1_max,ps1_std,ps1_first,ps1_last,ps2_sample_count,ps2_expected_samples,ps2_mean,ps2_min,ps2_max,ps2_std,ps2_first,ps2_last,ps3_sample_count,ps3_expected_samples,ps3_mean,ps3_min,ps3_max,ps3_std,ps3_first,ps3_last,ps4_sample_count,ps4_expected_samples,ps4_mean,ps4_min,ps4_max,ps4_std,ps4_first,ps4_last,ps5_sample_count,ps5_expected_samples,ps5_mean,ps5_min,ps5_max,ps5_std,ps5_first,ps5_last,ps6_sample_count,ps6_expected_samples,ps6_mean,ps6_min,ps6_max,ps6_std,ps6_first,ps6_last,eps1_sample_count,eps1_expected_samples,eps1_mean,eps1_min,eps1_max,eps1_std,eps1_first,eps1_last,fs1_sample_count,fs1_expected_samples,fs1_mean,fs1_min,fs1_max,fs1_std,fs1_first,fs1_last,fs2_sample_count,fs2_expected_samples,fs2_mean,fs2_min,fs2_max,fs2_std,fs2_first,fs2_last,ts1_sample_count,ts1_expected_samples,ts1_mean,ts1_min,ts1_max,ts1_std,ts1_first,ts1_last,ts2_sample_count,ts2_expected_samples,ts2_mean,ts2_min,ts2_max,ts2_std,ts2_first,ts2_last,ts3_sample_count,ts3_expected_samples,ts3_mean,ts3_min,ts3_max,ts3_std,ts3_first,ts3_last,ts4_sample_count,ts4_expected_samples,ts4_mean,ts4_min,ts4_max,ts4_std,ts4_first,ts4_last,vs1_sample_count,vs1_expected_samples,vs1_mean,vs1_min,vs1_max,vs1_std,vs1_first,vs1_last,ce_sample_count,ce_expected_samples,ce_mean,ce_min,ce_max,ce_std,ce_first,ce_last,cp_sample_count,cp_expected_samples,cp_mean,cp_min,cp_max,cp_std,cp_first,cp_last,se_sample_count,se_expected_samples,se_mean,se_min,se_max,se_std,se_first,se_last,quality_status,quality_reason
1,3,100,0,130,1,UCI_HYDRAULIC_RIG_001,uci_hydraulic_cycle_matrix,UCI_TEST_RIG,HYDRAULIC_TEST_BENCH,2026-01-01T00:00:00Z,2026-01-01T00:00:01Z,6000,6000,160.67349166666625,145.83,191.51,13.93930855334731,151.47,151.19,6000,6000,109.46691350000005,0.0,156.99,47.114507712259,125.5,125.1,6000,6000,1.9914753333333262,0.0,10.039,0.9457048337952314,2.305,2.211,6000,6000,0.0,0.0,0.0,0.0,0.0,0.0,6000,6000,9.842169500000013,9.681,10.016,0.08815395409747939,9.936,9.722,6000,6000,9.72809749999997,9.568,9.887,0.08536617142807437,9.818,9.615,6000,6000,2538.929166666707,2339.8,2951.6,185.61612099536987,2411.6,2409.6,600,600,6.709815000000007,0.0,18.71,3.015427901612756,8.99,8.036,600,600,10.304591666666655,10.148,10.446,0.09177151854787625,10.179,10.373,60,60,35.62198333333334,35.156,36.152,0.3082298554412129,35.57,36.152,60,60,40.97876666666664,40.773,41.25,0.15430174781424608,40.961,41.25,60,60,38.471016666666664,38.316,38.613,0.08465893520907608,38.32,38.594,60,60,31.745250000000006,30.363,33.594,1.1164783712145214,30.363,33.555,60,60,0.5769500000000001,0.532,0.624,0.02707830766061112,0.604,0.543,60,60,39.60135,28.866,47.438,6.370535064734905,47.202,28.866,60,60,1.8627499999999997,1.383,2.188,0.2793851375516346,2.184,1.383,60,60,59.15718333333337,0.0,79.568,23.76398403544754,68.039,68.264,valid,
2,3,100,0,130,1,UCI_HYDRAULIC_RIG_001,uci_hydraulic_cycle_matrix,UCI_TEST_RIG,HYDRAULIC_TEST_BENCH,2026-01-01T00:01:00Z,2026-01-01T00:01:01Z,6000,6000,160.60332000000074,145.73,191.47,14.118967490038504,151.11,150.86,6000,6000,109.3548903333334,0.0,157.56,47.04561102371902,125.06,125.04,6000,6000,1.9762343333333219,0.0,9.992,0.9419670261749908,2.281,2.219,6000,6000,0.0,0.0,0.0,0.0,0.0,0.0,6000,6000,9.635142166666707,9.557,9.745,0.03839180394833367,9.7,9.623,6000,6000,9.529487833333397,9.454,9.637,0.03631606616107796,9.592,9.517,6000,6000,2531.498900000043,2332.0,2947.4,189.94008895356612,2409.6,2397.8,600,600,6.715314999999993,0.0,18.712,3.0062481343890304,8.919,7.89,600,600,10.403098333333327,10.352,10.453,0.019161870804023092,10.408,10.391,60,60,36.676966666666665,35.648,37.488,0.5857401797658159,36.156,37.477,60,60,41.53276666666667,41.031,42.105,0.33823446720028405,41.258,42.105,60,60,38.97896666666667,38.668,39.254,0.1769205477777774,38.68,39.25,60,60,34.49386666666666,33.648,35.148,0.43531249117358356,33.648,35.121,60,60,0.5658500000000001,0.524,0.626,0.02724081247699449,0.59,0.534,60,60,25.786433333333324,23.32,29.208,1.6861293491072695,29.208,23.588,60,60,1.2555500000000002,1.147,1.414,0.0746050448151089,1.414,1.164,60,60,59.33561666666665,0.0,80.441,23.85791812211936,68.264,68.595,valid,
3,3,100,0,130,1,UCI_HYDRAULIC_RIG_001,uci_hydraulic_cycle_matrix,UCI_TEST_RIG,HYDRAULIC_TEST_BENCH,2026-01-01T00:02:00Z,2026-01-01T00:02:01Z,6000,6000,160.34771999999944,145.37,191.41,14.19261854410441,150.81,150.62,6000,6000,109.15884466666672,0.0,156.97,46.992060267562614,125.13,124.88,6000,6000,1.9722239999999964,0.0,10.914,0.943500834902427,2.227,2.266,6000,6000,0.0,0.0,0.0,0.0,0.0,0.0,6000,6000,9.5305478333333,9.455,9.64,0.035816651398362,9.606,9.521,6000,6000,9.427948833333366,9.348,9.536,0.03603099018920461,9.505,9.423,6000,6000,2519.9280000000276,2318.6,2939.8,190.73684957806262,2397.8,2383.8,600,600,6.718521666666663,0.0,18.698,3.014248300027873,9.179,7.952,600,600,10.366249999999996,10.296,10.443,0.026361190297921,10.392,10.356,60,60,37.88080000000001,36.879,38.621,0.559169080884261,37.488,38.621,60,60,42.44245000000001,41.832,43.039,0.39058823196449827,42.129,43.035,60,60,39.63194999999999,39.234,40.062,0.2511332568814099,39.234,40.043,60,60,35.64615,35.098,36.141,0.29388922304795156,35.113,36.121,60,60,0.5765333333333332,0.529,0.662,0.03672918142787259,0.578,0.534,60,60,22.21823333333334,21.22,23.554,0.6383451159096074,23.554,21.519,60,60,1.113216666666666,1.076,1.159,0.023263480995384125,1.159,1.103,60,60,59.543150000000004,0.0,80.824,23.923380524559676,68.595,68.628,valid,
4,3,100,0,130,1,UCI_HYDRAULIC_RIG_001,uci_hydraulic_cycle_matrix,UCI_TEST_RIG,HYDRAULIC_TEST_BENCH,2026-01-01T00:03:00Z,2026-01-01T00:03:01Z,6000,6000,160.1880883333334,145.14,191.34,14.227802960812765,150.48,150.28,6000,6000,109.06480716666653,0.0,156.44,46.97222148961298,124.93,124.59,6000,6000,1.9465754999999827,0.0,10.297,0.9355342055075784,2.32,2.273,6000,6000,0.0,0.0,0.0,0.0,0.0,0.0,6000,6000,9.438826666666722,9.363,9.535,0.037068580165617426,9.528,9.42,6000,6000,9.337429500000049,9.257,9.431,0.0373749003603509,9.422,9.325,6000,6000,2511.541633333386,2310.8,2929.6,191.27060661313834,2383.8,2372.0,600,600,6.720564999999993,0.0,18.896,3.020175558326622,9.034,7.773,600,600,10.302678333333336,10.241,10.382,0.026749656148487736,10.329,10.261,60,60,38.879049999999985,37.887,39.473,0.5161757493696195,38.633,39.461,60,60,43.40398333333333,42.805,43.988,0.39847576076959057,43.039,43.988,60,60,40.403383333333345,40.023,40.934,0.2854337817871432,40.086,40.922,60,60,36.579466666666654,36.105,36.988,0.26239674105734295,36.133,36.988,60,60,0.5692666666666667,0.527,0.645,0.033463801169331675,0.565,0.542,60,60,20.45981666666667,19.673,21.565,0.4557550446615631,21.54,20.403,60,60,1.0621500000000001,1.022,1.107,0.024621077507434946,1.101,1.091,60,60,59.79489999999999,0.0,80.93,24.023004578380316,68.628,68.868,valid,
5,3,100,0,130,1,UCI_HYDRAULIC_RIG_001,uci_hydraulic_cycle_matrix,UCI_TEST_RIG,HYDRAULIC_TEST_BENCH,2026-01-01T00:04:00Z,2026-01-01T00:04:01Z,6000,6000,160.0004716666663,144.95,191.41,14.27643404667445,150.41,150.19,6000,6000,108.93143433333374,0.0,158.13,46.874946219750896,124.72,124.51,6000,6000,1.9227069999999837,0.0,11.102,0.9303354813375868,2.25,2.297,6000,6000,0.0,0.0,0.0,0.0,0.0,0.0,6000,6000,9.358761999999949,9.29,9.443,0.029779089224249895,9.408,9.333,6000,6000,9.260636166666663,9.195,9.342,0.028592447370707222,9.315,9.231,6000,6000,2503.4495000000343,2301.8,2923.8,191.25836911634178,2372.0,2369.6,600,600,6.690308333333334,0.0,18.876,3.01155025329881,8.729,7.825,600,600,10.23775,10.179,10.312,0.0291704592494079,10.276,10.216,60,60,39.80391666666669,38.789,40.391,0.5353736630051458,39.461,40.391,60,60,44.332750000000004,43.742,44.887,0.37276891669536666,44.031,44.871,60,60,41.310550000000006,40.859,41.777,0.2935792807195303,40.934,41.758,60,60,37.427899999999994,36.992,37.781,0.23957056920063982,36.992,37.754,60,60,0.5773666666666666,0.524,0.66,0.0334835991558461,0.57,0.537,60,60,19.787016666666677,19.133,20.46,0.29015644474899843,20.46,20.016,60,60,1.0704666666666671,1.016,1.106,0.021477198525347192,1.086,1.106,60,60,59.455266666666674,0.0,81.1,23.972261687962575,68.868,68.972,valid,
6,3,100,0,130,1,UCI_HYDRAULIC_RIG_001,uci_hydraulic_cycle_matrix,UCI_TEST_RIG,HYDRAULIC_TEST_BENCH,2026-01-01T00:05:00Z,2026-01-01T00:05:01Z,6000,6000,159.9202100000004,144.71,191.28,14.276070682144542,150.27,149.98,6000,6000,108.88768166666719,0.0,156.55,46.84425876169337,124.44,124.23,6000,6000,1.91328449999999,0.0,11.453,0.9326029533539539,2.266,2.227,6000,6000,0.0,0.0,0.0,0.0,0.0,0.0,6000,6000,9.301159666666644,9.233,9.381,0.031070839588500782,9.348,9.271,6000,6000,9.206877000000002,9.141,9.287,0.030226381578965525,9.25,9.176,6000,6000,2501.007066666737,2297.0,2920.6,191.5185712942411,2369.6,2370.4,600,600,6.699023333333328,0.0,18.96,3.0048574769668686,9.044,7.923,600,600,10.178720000000004,10.126,10.256,0.022447154041011573,10.213,10.159,60,60,40.65944999999999,39.633,41.227,0.5104791177521536,40.398,41.227,60,60,45.17061666666665,44.605,45.687,0.36996967771613154,44.883,45.684,60,60,42.12411666666665,41.746,42.609,0.2663306274301633,41.762,42.609,60,60,38.21206666666665,37.824,38.586,0.2129950159890089,37.824,38.547,60,60,0.5726833333333334,0.525,0.643,0.03073147322091283,0.568,0.554,60,60,19.149683333333336,18.588,19.651,0.2772857237559662,19.651,19.377,60,60,1.0720833333333333,1.024,1.109,0.02113178316865394,1.083,1.109,60,60,59.56333333333331,0.0,80.946,23.982168019965442,68.972,68.512,valid,
7,3,100,0,130,1,UCI_HYDRAULIC_RIG_001,uci_hydraulic_cycle_matrix,UCI_TEST_RIG,HYDRAULIC_TEST_BENCH,2026-01-01T00:06:00Z,2026-01-01T00:06:01Z,6000,6000,159.67267499999937,144.49,191.19,14.371118645959022,149.92,149.8,6000,6000,108.67646550000013,0.0,155.04,46.7893887096043,124.23,124.25,6000,6000,1.8880996666666647,0.0,10.312,0.9157996183063395,2.242,2.195,6000,6000,0.0,0.0,0.0,0.0,0.0,0.0,6000,6000,9.233941833333331,9.17,9.302,0.02551527558516502,9.283,9.186,6000,6000,9.14332016666673,9.075,9.208,0.025541581562300946,9.198,9.09,6000,6000,2494.4169000000775,2290.0,2921.6,193.34185518544888,2369.8,2355.8,600,600,6.6985733333333295,0.0,19.208,3.0125156977745005,9.393,7.821,600,600,10.140809999999998,10.091,10.2,0.017606643343248598,10.133,10.126,60,60,41.46363333333333,40.539,42.062,0.5104826883854562,41.223,42.062,60,60,45.94723333333334,45.363,46.457,0.3421609476902551,45.684,46.457,60,60,42.88811666666665,42.598,43.203,0.20194965740078374,42.609,43.187,60,60,38.93209999999999,38.562,39.242,0.19430691256665655,38.566,39.227,60,60,0.5730333333333333,0.518,0.649,0.03288808277629701,0.582,0.537,60,60,18.666383333333332,18.348,19.415,0.2382952940683917,19.339,18.457,60,60,1.0816833333333336,1.053,1.11,0.012652448904336125,1.11,1.08,60,60,59.789899999999975,0.0,80.848,24.04009519263987,68.512,68.566,valid,
8,3,100,0,130,1,UCI_HYDRAULIC_RIG_001,uci_hydraulic_cycle_matrix,UCI_TEST_RIG,HYDRAULIC_TEST_BENCH,2026-01-01T00:07:00Z,2026-01-01T00:07:01Z,6000,6000,159.61445166666644,144.41,191.17,14.387503982431117,149.72,149.77,6000,6000,108.6517446666669,0.0,159.09,46.806641202471624,124.35,124.41,6000,6000,1.8748941666666623,0.0,10.398,0.917559658144189,2.187,2.117,6000,6000,0.0,0.0,0.0,0.0,0.0,0.0,6000,6000,9.194159166666767,9.125,9.26,0.026466895965889834,9.194,9.146,6000,6000,9.105058166666646,9.04,9.172,0.027312679235965264,9.092,9.059,6000,6000,2489.421533333364,2285.0,2913.0,192.12302669352226,2355.8,2354.0,600,600,6.678026666666669,0.0,19.333,3.0047145452526727,9.109,7.812,600,600,10.095978333333333,10.049,10.156,0.018820774864487425,10.114,10.08,60,60,42.215266666666665,41.227,42.734,0.4825752199790752,42.043,42.73,60,60,46.66523333333335,46.187,47.117,0.32350843473491164,46.461,47.113,60,60,43.51988333333331,43.273,43.875,0.159287937946165,43.285,43.875,60,60,39.55896666666667,39.227,39.828,0.17140041004901857,39.227,39.797,60,60,0.5720000000000002,0.525,0.669,0.03794911847751326,0.583,0.548,60,60,18.178433333333334,17.418,18.788,0.33560248714592544,18.788,18.38,60,60,1.0786999999999998,1.033,1.105,0.018538370652262798,1.102,1.105,60,60,59.59061666666667,0.0,81.01,23.962330519699265,68.566,68.697,valid,
9,3,100,0,130,1,UCI_HYDRAULIC_RIG_001,uci_hydraulic_cycle_matrix,UCI_TEST_RIG,HYDRAULIC_TEST_BENCH,2026-01-01T00:08:00Z,2026-01-01T00:08:01Z,6000,6000,159.47574499999968,144.12,191.14,14.430290295924257,149.82,149.65,6000,6000,108.52973849999994,0.0,167.22,46.76966521659664,124.28,124.16,6000,6000,1.8581203333333367,0.0,10.789,0.9143539161801051,2.117,2.227,6000,6000,0.0,0.0,0.0,0.0,0.0,0.0,6000,6000,9.144616166666712,9.085,9.206,0.023758021366170768,9.144,9.115,6000,6000,9.057066833333351,9.0,9.119,0.024531870469867368,9.054,9.028,6000,6000,2484.4190666666937,2279.8,2909.4,193.52966557706847,2354.0,2349.8,600,600,6.6716516666666665,0.0,19.577,3.0138335806328356,9.244,7.817,600,600,10.039710000000001,9.991,10.098,0.01930717945819768,10.069,10.033,60,60,42.89198333333331,41.977,43.41,0.45551369741323255,42.73,43.395,60,60,47.339433333333325,46.855,47.789,0.31305191894444984,47.141,47.789,60,60,44.201249999999966,43.875,44.457,0.17751052726003494,43.875,44.457,60,60,40.08053333333334,39.789,40.402,0.17870138586685438,39.793,40.359,60,60,0.5670666666666666,0.516,0.65,0.032561736235444595,0.57,0.533,60,60,18.334866666666663,17.587,19.081,0.3587938583202917,18.362,18.232,60,60,1.1150833333333332,1.073,1.168,0.022854952856142495,1.103,1.123,60,60,59.608883333333324,0.0,81.186,23.99526272461809,68.697,68.854,valid,
10,3,100,0,130,1,UCI_HYDRAULIC_RIG_001,uci_hydraulic_cycle_matrix,UCI_TEST_RIG,HYDRAULIC_TEST_BENCH,2026-01-01T00:09:00Z,2026-01-01T00:09:01Z,6000,6000,159.43799666666678,144.16,191.16,14.415517657887966,149.68,149.7,6000,6000,108.51088516666725,0.0,162.14,46.75187690994249,124.02,124.1,6000,6000,1.8410633333333353,0.0,10.758,0.9115543885159895,2.047,2.109,6000,6000,0.0,0.0,0.0,0.0,0.0,0.0,6000,6000,9.104831499999985,9.052,9.173,0.02396090834264775,9.117,9.108,6000,6000,9.019264666666755,8.965,9.087,0.023900679738678612,9.031,9.007,6000,6000,2480.434866666682,2274.0,2905.4,192.79525118407025,2349.8,2349.8,600,600,6.659990000000001,0.0,19.432,3.0106461327752654,9.412,7.788,600,600,9.99776166666668,9.962,10.053,0.015677089944803234,10.033,9.987,60,60,43.532833333333336,42.641,44.012,0.4566669285330603,43.379,44.012,60,60,47.98141666666667,47.449,48.422,0.31789638497774786,47.793,48.422,60,60,44.79713333333333,44.527,45.129,0.17485271929920795,44.539,45.129,60,60,40.612549999999985,40.375,40.918,0.1664479788432921,40.379,40.875,60,60,0.5716833333333334,0.516,0.653,0.03181434047543662,0.578,0.537,60,60,18.205733333333335,17.72,18.746,0.2438982051251645,18.201,18.207,60,60,1.1291333333333335,1.108,1.163,0.015200877167672471,1.122,1.147,60,60,59.47373333333334,0.0,80.907,23.969264811891893,68.854,68.832,valid,
